,Rutas,NetoMN,NetoUSD,ImpuestoMN,ImpuestosUSD,TotalMN,TotalUSD,ComisionMN,ComisionUSD,EfectivoMN,EfectivoUSD,CuentaCorrienteMN,CuentaCorrienteUSD,Agencia,Gestion,Mes
10,LPB-VVI,367,0,86,0,453,0,0,0,0,0,453,0,LA PAZ AEROPUERTO,2020,1
13,LPB-VVI,367,0,86,0,453,0,0,0,0,0,453,0,LA PAZ CIUDAD,2020,1
16,LPB-VVI-LPB,77,0,15,0,92,0,0,0,0,0,0,0,OFICINA LPB ZONA SUR,2020,1
19,LPB-VVI-LPB,77,0,15,0,92,0,0,0,0,0,0,0,LA PAZ CIUDAD,2020,1
22,LPB-CBB,279,0,69,0,348,0,0,0,348,0,0,0,LA PAZ AEROPUERTO,2020,1
24,LPB-CBB,279,0,69,0,348,0,0,0,348,0,0,0,LA PAZ AEROPUERTO,2020,1
26,LPB-VVI,286,0,71,0,357,0,0,0,357,0,0,0,OFICINA LPB ZONA SUR,2020,1
28,LPB-VVI,367,0,86,0,453,0,0,0,453,0,0,0,LA PAZ AEROPUERTO,2020,1
30,LPB-VVI,367,0,86,0,453,0,0,0,453,0,0,0,OFICINA LPB ZONA SUR,2020,1
32,LPB-VVI,367,0,86,0,453,0,0,0,453,0,0,0,LA PAZ CIUDAD,2020,1
35,LPB-CBB,170,0,48,0,218,0,0,0,218,0,0,0,LA PAZ CIUDAD,2020,1
37,LPB-CBB,279,0,69,0,348,0,0,0,348,0,0,0,LA PAZ CIUDAD,2020,1
39,LPB-CBB,170,0,48,0,218,0,0,0,218,0,0,0,LA PAZ AEROPUERTO,2020,1
41,LPB-CBB,170,0,48,0,218,0,0,0,218,0,0,0,LA PAZ CIUDAD,2020,1
43,LPB-CBB,17,0,4,0,21,0,0,0,21,0,0,0,LA PAZ CIUDAD,2020,1
45,LPB-CBB,170,0,48,0,218,0,0,0,218,0,0,0,OFICINA LPB ZONA SUR,2020,1
47,LPB-VVI,367,0,86,0,453,0,0,0,453,0,0,0,OFICINA LPB ZONA SUR,2020,1
49,LPB-VVI,290,0,71,0,361,0,0,0,361,0,0,0,LA PAZ CIUDAD,2020,1
51,LPB-CBB,242,0,62,0,304,0,0,0,304,0,0,0,LA PAZ CIUDAD,2020,1
53,VVI-LPB,367,0,86,0,453,0,0,0,453,0,0,0,OFICINA LPB ZONA SUR,2020,1
55,LPB-VVI,290,0,71,0,361,0,0,0,361,0,0,0,LA PAZ AEROPUERTO,2020,1
57,LPB-VVI,290,0,71,0,361,0,0,0,361,0,0,0,LA PAZ CIUDAD,2020,1
59,LPB-VVI,290,0,71,0,361,0,0,0,361,0,0,0,OFICINA LPB ZONA SUR,2020,1
61,LPB-VVI,290,0,71,0,361,0,0,0,361,0,0,0,OFICINA LPB ZONA SUR,2020,1
63,LPB-VVI,290,0,71,0,361,0,0,0,361,0,0,0,LA PAZ AEROPUERTO,2020,1
76,LPB-CBB,242,0,62,0,304,0,0,0,304,0,0,0,OFICINA LPB ZONA SUR,2020,1
78,LPB-CBB,242,0,62,0,304,0,0,0,304,0,0,0,LA PAZ CIUDAD,2020,1
80,LPB-CBB,242,0,62,0,304,0,0,0,304,0,0,0,LA PAZ CIUDAD,2020,1
82,LPB-CBB,170,0,48,0,218,0,0,0,218,0,0,0,LA PAZ CIUDAD,2020,1
84,LPB-CBB,193,0,52,0,245,0,0,0,245,0,0,0,LA PAZ CIUDAD,2020,1
86,LPB-VVI,290,0,71,0,361,0,0,0,361,0,0,0,LA PAZ CIUDAD,2020,1
88,LPB-CIJ,487,0,109,0,596,0,0,0,596,0,0,0,OFICINA LPB ZONA SUR,2020,1
90,LPB-CBB-TJA,516,0,114,0,630,0,0,0,630,0,0,0,OFICINA LPB ZONA SUR,2020,1
92,TJA-BYC,186,0,36,0,222,0,0,0,0,0,222,0,OFICINA LPB ZONA SUR,2020,1
95,LPB-CBB,196,0,53,0,249,0,0,0,0,0,249,0,OFICINA LPB ZONA SUR,2020,1
98,LPB-CBB-TJA,283,0,70,0,353,0,0,0,0,0,353,0,OFICINA LPB ZONA SUR,2020,1
101,LPB-CBB-TJA,422,0,97,0,519,0,0,0,0,0,519,0,OFICINA LPB ZONA SUR,2020,1
104,LPB-CBB-TJA,422,0,97,0,519,0,0,0,0,0,519,0,OFICINA LPB ZONA SUR,2020,1
107,LPB-VVI-LPB,657,0,156,0,813,0,0,0,0,0,813,0,OFICINA LPB ZONA SUR,2020,1
110,LPB-VVI-LPB,657,0,156,0,813,0,0,0,0,0,813,0,LA PAZ AEROPUERTO,2020,1
113,LPB-CBB,170,0,48,0,218,0,0,0,218,0,0,0,OFICINA LPB ZONA SUR,2020,1
115,LPB-CBB-SRE,72,0,13,0,85,0,0,0,0,0,0,0,LA PAZ AEROPUERTO,2020,1
118,LPB-CBB,279,0,69,0,348,0,0,0,348,0,0,0,LA PAZ AEROPUERTO,2020,1
